generation,best_accuracy,best_fitness,best_params,best_genome
0,0.30000001192092896,0.26301901192092897,36981,"{""dense"": 64, ""dropout"": 0.0, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}]}"
1,0.44999998807907104,0.378794988079071,71205,"{""dense"": 64, ""dropout"": 0.4, ""stages"": [{""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
2,0.44999998807907104,0.356314988079071,93685,"{""dense"": 64, ""dropout"": 0.4, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
3,0.25,0.15393099999999998,96069,"{""dense"": 64, ""dropout"": 0.4, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}]}"
4,0.44999998807907104,0.35393098807907103,96069,"{""dense"": 64, ""dropout"": 0.4, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}]}"
0,0.8141199946403503,0.48131799464035036,332802,"{""network_type"": ""llama"", ""embed_dim"": 32, ""dropout"": 0.2, ""blocks"": [{""num_heads"": 2, ""ff_dim"": 64}]}"
0,0.7444345355033875,0.02650053550338749,717934,"{""network_type"": ""bert"", ""embed_dim"": 64, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 64}]}"
0,0.9904000163078308,0.9027260163078308,87674,"{""network_type"": ""cnn"", ""dense"": 32, ""dropout"": 0.0, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 16, ""kernel"": 5, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 2}]}"
0,0.9850999712944031,0.8322419712944031,152858,"{""network_type"": ""cnn"", ""dense"": 128, ""dropout"": 0.0, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 48, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 32, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}]}"
0,0.8111199736595154,-0.0036660263404846294,814786,"{""network_type"": ""llm"", ""embed_dim"": 64, ""dropout"": 0.0, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 64}, {""num_heads"": 4, ""ff_dim"": 256}]}"
0,0.8694000244140625,0.7994540244140625,69946,"{""network_type"": ""cnn"", ""dense"": 64, ""dropout"": 0.0, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}]}"
1,0.8258000016212463,0.7594700016212463,66330,"{""dense"": 64, ""dropout"": 0.1, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 5, ""pool"": 2}, {""filters"": 48, ""kernel"": 3, ""pool"": 1}, {""filters"": 32, ""kernel"": 3, ""pool"": 1}, {""filters"": 32, ""kernel"": 3, ""pool"": 2}]}"
2,0.8579000234603882,0.8175060234603881,40394,"{""dense"": 32, ""dropout"": 0.1, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 5, ""pool"": 2}, {""filters"": 32, ""kernel"": 3, ""pool"": 1}, {""filters"": 32, ""kernel"": 3, ""pool"": 2}]}"
3,0.849399983882904,0.7926379838829041,56762,"{""dense"": 32, ""dropout"": 0.0, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 5, ""pool"": 2}, {""filters"": 48, ""kernel"": 3, ""pool"": 1}, {""filters"": 32, ""kernel"": 3, ""pool"": 1}, {""filters"": 32, ""kernel"": 3, ""pool"": 2}]}"
4,0.8715999722480774,0.8054619722480774,66138,"{""dense"": 32, ""dropout"": 0.0, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 5, ""pool"": 2}, {""filters"": 48, ""kernel"": 3, ""pool"": 1}, {""filters"": 32, ""kernel"": 3, ""pool"": 1}, {""filters"": 32, ""kernel"": 3, ""pool"": 1}, {""filters"": 32, ""kernel"": 3, ""pool"": 2}]}"
0,0.43050000071525574,-0.008757999284744244,439258,"{""network_type"": ""cnn"", ""dense"": 32, ""dropout"": 0.1, ""stages"": [{""filters"": 48, ""kernel"": 5, ""pool"": 1}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 64, ""kernel"": 3, ""pool"": 1}, {""filters"": 48, ""kernel"": 5, ""pool"": 1}, {""filters"": 32, ""kernel"": 5, ""pool"": 2}]}"
0,0.824400007724762,0.453966007724762,370434,"{""network_type"": ""gpt"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 8, ""ff_dim"": 256}]}"
0,0.8239200115203857,0.45348601152038576,370434,"{""network_type"": ""bert"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 8, ""ff_dim"": 256}]}"
0,0.8162400126457214,0.40356601264572145,412674,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.0, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 256}, {""num_heads"": 8, ""ff_dim"": 64}, {""num_heads"": 4, ""ff_dim"": 64}]}"
0,0.8234400153160095,0.48647801531600954,336962,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 2, ""ff_dim"": 128}]}"
0,0.8140000104904175,-0.00942598950958251,823426,"{""network_type"": ""llm"", ""embed_dim"": 64, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 2, ""ff_dim"": 64}, {""num_heads"": 2, ""ff_dim"": 64}, {""num_heads"": 4, ""ff_dim"": 256}]}"
0,0.9740999937057495,0.1564259937057495,817674,"{""network_type"": ""cnn"", ""dense"": 128, ""dropout"": 0.2, ""stages"": [{""filters"": 16, ""kernel"": 5, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}]}"
0,0.8242800235748291,0.4914780235748291,332802,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 2, ""ff_dim"": 64}]}"
0,0.8201599717140198,0.3697899717140198,450370,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 256}, {""num_heads"": 2, ""ff_dim"": 256}, {""num_heads"": 8, ""ff_dim"": 64}, {""num_heads"": 4, ""ff_dim"": 256}]}"
1,0.8227599859237671,0.4899579859237671,332802,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 2, ""ff_dim"": 64}]}"
2,0.8232799768447876,0.4904779768447876,332802,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 2, ""ff_dim"": 64}]}"
3,0.8245599865913391,0.4917579865913391,332802,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 2, ""ff_dim"": 64}]}"
4,0.8234000205993652,0.49059802059936525,332802,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 2, ""ff_dim"": 64}]}"
1,0.8198400139808655,0.3694700139808655,450370,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 256}, {""num_heads"": 2, ""ff_dim"": 256}, {""num_heads"": 8, ""ff_dim"": 64}, {""num_heads"": 4, ""ff_dim"": 256}]}"
2,0.8213199973106384,0.46336599731063843,357954,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.2, ""blocks"": [{""num_heads"": 8, ""ff_dim"": 64}]}"
0,0.8234800100326538,0.4655260100326538,357954,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 8, ""ff_dim"": 64}]}"
3,0.8231599926948547,0.46520599269485474,357954,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 8, ""ff_dim"": 64}]}"
1,0.8233199715614319,0.4653659715614319,357954,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 8, ""ff_dim"": 64}]}"
4,0.8227999806404114,0.4648459806404114,357954,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 8, ""ff_dim"": 64}]}"
2,0.8242400288581848,0.4662860288581848,357954,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 8, ""ff_dim"": 64}]}"
3,0.8238000273704529,0.4658460273704529,357954,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 8, ""ff_dim"": 64}]}"
0,0.8249199986457825,0.46690199864578247,358018,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.0, ""blocks"": [{""num_heads"": 2, ""ff_dim"": 256}, {""num_heads"": 2, ""ff_dim"": 64}]}"
1,0.8248800039291382,0.4627660039291382,362114,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.0, ""blocks"": [{""num_heads"": 8, ""ff_dim"": 128}]}"
2,0.8228800296783447,0.47753402967834474,345346,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.0, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 128}]}"
3,0.8240399956703186,0.4786939956703186,345346,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.0, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 128}]}"
4,0.824679970741272,0.479333970741272,345346,"{""network_type"": ""llm"", ""embed_dim"": 32, ""dropout"": 0.0, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 128}]}"
0,0.9787999987602234,0.8660379987602234,112762,"{""network_type"": ""cnn"", ""dense"": 128, ""dropout"": 0.0, ""stages"": [{""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 48, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}]}"
1,0.9800999760627747,0.8673379760627746,112762,"{""network_type"": ""cnn"", ""dense"": 128, ""dropout"": 0.0, ""stages"": [{""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 48, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}]}"
2,0.9793000221252441,0.9039140221252442,75386,"{""network_type"": ""cnn"", ""dense"": 128, ""dropout"": 0.0, ""stages"": [{""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}]}"
3,0.9757999777793884,0.8980299777793884,77770,"{""network_type"": ""cnn"", ""dense"": 128, ""dropout"": 0.0, ""stages"": [{""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}]}"
4,0.9753999710083008,0.8952459710083007,80154,"{""network_type"": ""cnn"", ""dense"": 128, ""dropout"": 0.2, ""stages"": [{""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}]}"
0,0.8089600205421448,-0.14707397945785528,956034,"{""network_type"": ""gpt"", ""embed_dim"": 64, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 64}, {""num_heads"": 8, ""ff_dim"": 64}, {""num_heads"": 4, ""ff_dim"": 256}]}"
0,0.21850000321865082,0.05998400321865083,158516,"{""network_type"": ""cnn"", ""dense"": 128, ""dropout"": 0.1, ""stages"": [{""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
1,0.2062000036239624,0.04768400362396241,158516,"{""network_type"": ""cnn"", ""dense"": 128, ""dropout"": 0.1, ""stages"": [{""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
2,0.17649999260902405,0.03719999260902404,139300,"{""network_type"": ""cnn"", ""dense"": 64, ""dropout"": 0.1, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 48, ""kernel"": 3, ""pool"": 1}, {""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
3,0.18719999492168427,0.10068399492168427,86516,"{""network_type"": ""cnn"", ""dense"": 64, ""dropout"": 0.1, ""stages"": [{""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
4,0.1826999932527542,0.09618399325275422,86516,"{""network_type"": ""cnn"", ""dense"": 64, ""dropout"": 0.1, ""stages"": [{""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
0,0.5526000261306763,0.41607802613067624,136522,"{""network_type"": ""cnn"", ""dense"": 64, ""dropout"": 0.1, ""stages"": [{""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 48, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 5, ""pool"": 1}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
1,0.492900013923645,0.44401001392364503,48890,"{""network_type"": ""cnn"", ""dense"": 32, ""dropout"": 0.0, ""stages"": [{""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 48, ""kernel"": 3, ""pool"": 2}]}"
2,0.5649999976158142,0.4330539976158142,131946,"{""network_type"": ""cnn"", ""dense"": 32, ""dropout"": 0.0, ""stages"": [{""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
3,0.48539999127388,0.41625399127388,69146,"{""network_type"": ""cnn"", ""dense"": 64, ""dropout"": 0.0, ""stages"": [{""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
4,0.48910000920295715,0.41995400920295717,69146,"{""network_type"": ""cnn"", ""dense"": 64, ""dropout"": 0.0, ""stages"": [{""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
